ID;x;y;year;field_id;ahn_mean;crop_name;ndvi_values
19 ; 223066.980092191 ; 451527.426012973 ; 2013 ; 1887116 ; 1623.0 ; Grasland, blijvend ; [0.3083, 0.559383, 0.502167, 0.481417, 0.5079]
19 ; 223066.980092191 ; 451527.426012973 ; 2012 ; 3003329 ; 1627.2758620689656 ; Grasland, blijvend ; []
19 ; 223066.980092191 ; 451527.426012973 ; 2015 ; 3849095 ; 1623.0 ; Grasland, blijvend ; [0.285717, 0.334133, 0.447933, 0.512883, 0.5747]
19 ; 223066.980092191 ; 451527.426012973 ; 2017 ; 4299743 ; 1622.2941176470588 ; Grasland, blijvend ; [0.552, 0.663, 0.669, 0.63, 0.399]
20 ; 221948.64223501 ; 452422.749183137 ; 2014 ; 1582307 ; 1512.547619047619 ; Mais, snij- ; [0.422229, 0.386775, 0.448654, 0.513579, 0.544158]
20 ; 221948.64223501 ; 452422.749183137 ; 2013 ; 2325782 ; 1512.547619047619 ; Mais, snij- ; [0.279938, 0.361542, 0.316129, 0.323929, 0.315992]
20 ; 221948.64223501 ; 452422.749183137 ; 2012 ; 3063135 ; 1506.0384615384614 ; Mais, snij- ; []
20 ; 221948.64223501 ; 452422.749183137 ; 2015 ; 3998112 ; 1512.547619047619 ; Mais, snij- ; [0.327421, 0.440267, 0.390125, 0.4423, 0.5833]
20 ; 221948.64223501 ; 452422.749183137 ; 2017 ; 4024741 ; 1520.0666666666666 ; Mais, snij- ; [0.444, 0.288, 0.246, 0.366, 0.33]
21 ; 220630.692490738 ; 451563.248895321 ; 2016 ; 180174 ; 1366.4285714285713 ; Grasland, blijvend ; [0.52895, 0.5572, 0.57875, 0.60325, 0.5035]
21 ; 220630.692490738 ; 451563.248895321 ; 2015 ; 3593617 ; 1366.4285714285713 ; Grasland, blijvend ; [0.45535, 0.4922, 0.40285, 0.47895, 0.5701]
21 ; 220630.692490738 ; 451563.248895321 ; 2017 ; 4098132 ; 1366.4285714285713 ; Grasland, blijvend ; [0.597, 0.69, 0.693, 0.468, 0.423]
22 ; 221513.415883522 ; 452126.069558517 ; 2016 ; 231025 ; 1451.5652173913043 ; Mais, snij- ; [0.42324, 0.45942, 0.421613, 0.46152, 0.48874]
22 ; 221513.415883522 ; 452126.069558517 ; 2014 ; 1526599 ; 1451.5652173913043 ; Mais, snij- ; [0.376317, 0.368733, 0.37904, 0.413387, 0.465353]
22 ; 221513.415883522 ; 452126.069558517 ; 2013 ; 2338812 ; 1451.5652173913043 ; Mais, snij- ; [0.31694, 0.39404, 0.26092, 0.3176, 0.29716]
22 ; 221513.415883522 ; 452126.069558517 ; 2012 ; 2918876 ; 1451.5652173913043 ; Gerst, zomer- ; []
22 ; 221513.415883522 ; 452126.069558517 ; 2015 ; 3925728 ; 1451.5652173913043 ; Mais, snij- ; [0.329093, 0.491733, 0.394367, 0.408933, 0.55092]
22 ; 221513.415883522 ; 452126.069558517 ; 2017 ; 4158821 ; 1451.5652173913043 ; Mais, snij- ; [0.27, 0.264, 0.126, 0.264, 0.237]
23 ; 222907.772074356 ; 452135.540583274 ; 2016 ; 387310 ; 1664.125 ; Mais, snij- ; []
23 ; 222907.772074356 ; 452135.540583274 ; 2014 ; 1566209 ; 1664.125 ; Mais, snij- ; []
23 ; 222907.772074356 ; 452135.540583274 ; 2013 ; 2338328 ; 1664.125 ; Mais, snij- ; []
23 ; 222907.772074356 ; 452135.540583274 ; 2012 ; 3104574 ; 1664.125 ; Mais, snij- ; []
23 ; 222907.772074356 ; 452135.540583274 ; 2015 ; 3994437 ; 1664.125 ; Mais, snij- ; []
23 ; 222907.772074356 ; 452135.540583274 ; 2017 ; 4577019 ; 1664.125 ; Mais, snij- ; [0.42, 0.585, 0.267, 0.261, 0.321]
24 ; 222374.475211015 ; 451496.456204688 ; 2016 ; 490606 ; 1550.5866666666666 ; Mais, snij- ; [0.561536, 0.646415, 0.630186, 0.63689, 0.594163]
